STT,Tieng_Nhat,Romaji,Nghia_Tieng_Viet
1,わたし,watashi,tôi
2,わたしたち,watashitachi,"chúng tôi, chúng ta"
3,あなた,anata,"bạn, anh, chị, ông, bà (ngôi thứ II)"
4,あのひと (あの人),ano hito,"người kia, người đó"
5,あのかた (あの方),ano kata,vị kia (cách nói lịch sự của あのひと)
6,みなさん (皆さん),minasan,"các bạn, các anh chị, quý vị"
7,～さん,~san,"anh, chị, ông, bà (thêm sau tên)"
8,～ちゃん,~chan,bé (hậu tố thêm sau tên trẻ em)
9,～くん (～君),~kun,"em, cậu (hậu tố sau tên nam giới/em trai)"
10,～じん (～人),~jin,người (nước ~)
11,せんせい (先生),sensei,thầy/cô (không dùng xưng nghề nghiệp bản thân)
12,きょうし (教師),kyoushi,giáo viên
13,がくせい (学生),gakusei,"học sinh, sinh viên"
14,かいしゃいん (会社員),kaishain,nhân viên công ty
15,しゃいん (社員),shain,nhân viên công ty ~ (dùng kèm tên công ty)
16,ぎんこういん (銀行員),ginkouin,nhân viên ngân hàng
17,いしゃ (医者),isha,bác sĩ
18,けんきゅうしゃ (研究者),kenkyuusha,nhà nghiên cứu
19,エンジニア,enjinia,kỹ sư
20,だいがく (大学),daigaku,trường đại học
21,びょういん (病院),byouin,bệnh viện
22,でんき (電気),denki,"điện, đèn điện"
23,だれ,dare,ai
24,どなた,donata,vị nào (cách nói lịch sự của だれ)
25,～さい (－歳),~sai,~ tuổi
26,なんさい (何歳),nan sai,mấy tuổi
27,おいくつ,oikutsu,bao nhiêu tuổi (cách nói lịch sự của なんさい)
28,はい,hai,"vâng, dạ, đúng"
29,いいえ,iie,"không, không phải"
30,しつれいですが (失礼ですが),shitsurei desu ga,xin lỗi (khi làm phiền ai đó)...
31,おなまえは？ (お名前は？),onamae wa?,tên anh/chị là gì?
32,はじめまして (初めまして),hajimemashite,rất hân hạnh được gặp anh/chị
33,どうぞ よろしく [おねがいします] (どうぞ よろしく [お願いします]),douzo yoroshiku [onegaishimasu],rất mong được sự giúp đỡ của anh/chị
34,こちらは ～さんです,kochira wa ~san desu,đây là anh/chị/ông/bà ~
35,～から きました (～から 来ました),~kara kimashita,(tôi) đến từ ~
36,アメリカ,amerika,Mỹ
37,イギリス,igirisu,Anh
38,インド,indo,Ấn Độ
39,インドネシア,indoneshia,Indonesia
40,かんこく (韓国),kankoku,Hàn Quốc
41,タイ,tai,Thái Lan
42,ちゅうごく (中国),chuugoku,Trung Quốc
43,ドイツ,doitsu,Đức
44,にほん (日本),nihon,Nhật Bản
45,フランス,furansu,Pháp
46,ブラジル,burajiru,Brazil
